epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,199.952,2.71735,4.59716,0.99479,0.02778,0.01852,0.02394,0.01473,2.61644,5.13759,0.9971,0.00629961,0.00629961,0.00629961
65,203.012,2.84124,4.58096,0.98977,0.02778,0.01852,0.02394,0.01473,2.61644,5.13759,0.9971,0.00639959,0.00639959,0.00639959
66,205.994,3.01513,4.56314,1.00051,0.03273,0.04012,0.02946,0.00649,2.44196,5.0124,0.94971,0.00649958,0.00649958,0.00649958
67,208.783,2.46661,4.30759,0.94709,0.03273,0.04012,0.02946,0.00649,2.44196,5.0124,0.94971,0.00659957,0.00659957,0.00659957
68,212.018,2.64479,4.50587,0.98752,0.03273,0.04012,0.02946,0.00649,2.44196,5.0124,0.94971,0.00669956,0.00669956,0.00669956
69,214.558,2.41493,4.38186,0.95836,0.017,0.04012,0.03407,0.01836,2.96744,4.90397,1.01846,0.00679954,0.00679954,0.00679954
70,217.378,2.68079,4.43388,0.977,0.017,0.04012,0.03407,0.01836,2.96744,4.90397,1.01846,0.00689953,0.00689953,0.00689953
71,220.543,2.85021,4.314,0.96986,0.017,0.04012,0.03407,0.01836,2.96744,4.90397,1.01846,0.00699951,0.00699951,0.00699951
72,223.43,2.61027,4.38454,0.98493,0.25284,0.03704,0.03829,0.00902,2.57206,4.81049,0.99497,0.0070995,0.0070995,0.0070995
73,226.365,2.68113,4.44498,1.00945,0.25284,0.03704,0.03829,0.00902,2.57206,4.81049,0.99497,0.00719949,0.00719949,0.00719949
74,229.33,2.80283,4.39958,1.00023,0.25284,0.03704,0.03829,0.00902,2.57206,4.81049,0.99497,0.00729947,0.00729947,0.00729947
75,232.327,2.72852,4.39519,0.99305,0.28593,0.03186,0.03692,0.01978,2.60619,4.79075,0.98588,0.00739946,0.00739946,0.00739946
76,235.519,2.6467,4.15579,0.97089,0.28593,0.03186,0.03692,0.01978,2.60619,4.79075,0.98588,0.00749944,0.00749944,0.00749944
