epoch	time	train/box_loss	train/cls_loss	train/dfl_loss	metrics/precision(B)	metrics/recall(B)	metrics/mAP50(B)	metrics/mAP50-95(B)	val/box_loss	val/cls_loss	val/dfl_loss	lr/pg0	lr/pg1	lr/pg2
112	278,361	2,1079	4,26667	0,94856	0,52891	0,04321	0,06273	0,03557	1,85337	4,24465	0,90625	0,000168667	0,000168667	0,000168667
113	279,972	2,52487	4,20153	0,94051	0,52891	0,04321	0,06273	0,03557	1,85337	4,24465	0,90625	0,000168547	0,000168547	0,000168547
114	281,566	1,75923	4,06084	0,8882	0,52891	0,04321	0,06273	0,03557	1,85337	4,24465	0,90625	0,000168426	0,000168426	0,000168426
115	283,397	2,32804	4,14227	0,92749	0,52891	0,04321	0,06273	0,03557	1,85337	4,24465	0,90625	0,000168306	0,000168306	0,000168306
116	285,159	2,15664	4,10854	0,93436	0,48505	0,04321	0,07202	0,03786	1,84654	4,14612	0,90301	0,000168186	0,000168186	0,000168186
117	287,036	2,86638	4,29295	0,98642	0,48505	0,04321	0,07202	0,03786	1,84654	4,14612	0,90301	0,000168066	0,000168066	0,000168066
118	288,899	2,29228	4,09053	0,91874	0,48505	0,04321	0,07202	0,03786	1,84654	4,14612	0,90301	0,000167946	0,000167946	0,000167946
119	290,75	2,68287	4,35661	1,0165	0,48505	0,04321	0,07202	0,03786	1,84654	4,14612	0,90301	0,000167826	0,000167826	0,000167826
120	292,439	1,83627	4,04301	0,90266	0,03862	0,22222	0,08322	0,04203	1,82919	4,07459	0,90685	0,000167706	0,000167706	0,000167706
121	294,242	2,3125	4,1474	0,94096	0,03862	0,22222	0,08322	0,04203	1,82919	4,07459	0,90685	0,000167586	0,000167586	0,000167586
122	296,033	1,98133	4,00096	0,93278	0,03862	0,22222	0,08322	0,04203	1,82919	4,07459	0,90685	0,000167465	0,000167465	0,000167465
123	297,915	2,20449	4,07869	0,94764	0,03862	0,22222	0,08322	0,04203	1,82919	4,07459	0,90685	0,000167345	0,000167345	0,000167345
124	299,615	1,73884	4,04642	0,91341	0,03521	0,22716	0,08534	0,04684	1,81073	4,00532	0,90913	0,000167225	0,000167225	0,000167225
125	301,3	1,88106	3,88179	0,90897	0,03521	0,22716	0,08534	0,04684	1,81073	4,00532	0,90913	0,000167105	0,000167105	0,000167105
126	303,021	2,11562	3,96039	0,93315	0,03521	0,22716	0,08534	0,04684	1,81073	4,00532	0,90913	0,000166985	0,000166985	0,000166985
127	305,085	2,07549	4,1778	0,92567	0,03521	0,22716	0,08534	0,04684	1,81073	4,00532	0,90913	0,000166865	0,000166865	0,000166865
128	306,885	2,0005	4,02226	0,9282	0,04867	0,27654	0,12221	0,06642	1,76674	3,93889	0,90367	0,000166745	0,000166745	0,000166745
129	308,548	1,83005	3,73345	0,8929	0,04867	0,27654	0,12221	0,06642	1,76674	3,93889	0,90367	0,000166625	0,000166625	0,000166625
130	310,299	2,05403	3,99508	0,93511	0,04867	0,27654	0,12221	0,06642	1,76674	3,93889	0,90367	0,000166505	0,000166505	0,000166505
131	312,224	2,16095	3,96421	0,93659	0,04867	0,27654	0,12221	0,06642	1,76674	3,93889	0,90367	0,000166384	0,000166384	0,000166384
132	313,938	2,11943	3,94617	0,91899	0,06124	0,29506	0,13604	0,081	1,75426	3,85976	0,90463	0,000166264	0,000166264	0,000166264
133	315,496	1,92733	3,89267	0,90836	0,06124	0,29506	0,13604	0,081	1,75426	3,85976	0,90463	0,000166144	0,000166144	0,000166144
134	317,21	2,1725	3,93286	0,9107	0,06124	0,29506	0,13604	0,081	1,75426	3,85976	0,90463	0,000166024	0,000166024	0,000166024
135	319,35	2,03334	3,907	0,93968	0,06124	0,29506	0,13604	0,081	1,75426	3,85976	0,90463	0,000165904	0,000165904	0,000165904
136	321,364	2,42058	4,09341	0,93368	0,0799	0,34444	0,17654	0,10062	1,74493	3,75606	0,89703	0,000165784	0,000165784	0,000165784
137	323,258	2,17203	3,8713	0,90245	0,0799	0,34444	0,17654	0,10062	1,74493	3,75606	0,89703	0,000165664	0,000165664	0,000165664
138	326,087	2,32063	4,01439	0,94607	0,0799	0,34444	0,17654	0,10062	1,74493	3,75606	0,89703	0,000165544	0,000165544	0,000165544
139	328,73	2,14363	4,01757	0,92059	0,0799	0,34444	0,17654	0,10062	1,74493	3,75606	0,89703	0,000165423	0,000165423	0,000165423
140	332,048	1,83958	3,66766	0,89354	0,07598	0,35062	0,18367	0,10701	1,73495	3,63986	0,88602	0,000165303	0,000165303	0,000165303
141	334,824	2,47201	3,94063	0,93534	0,07598	0,35062	0,18367	0,10701	1,73495	3,63986	0,88602	0,000165183	0,000165183	0,000165183
142	337,605	1,98094	3,6468	0,90394	0,07598	0,35062	0,18367	0,10701	1,73495	3,63986	0,88602	0,000165063	0,000165063	0,000165063
143	340,281	1,94367	3,77877	0,89631	0,07598	0,35062	0,18367	0,10701	1,73495	3,63986	0,88602	0,000164943	0,000164943	0,000164943
144	343,192	1,89523	3,70519	0,88662	0,07661	0,36605	0,18327	0,11183	1,78905	3,52361	0,87779	0,000164823	0,000164823	0,000164823
145	345,677	1,81864	3,66026	0,90895	0,07661	0,36605	0,18327	0,11183	1,78905	3,52361	0,87779	0,000164703	0,000164703	0,000164703
146	348,444	2,0271	3,85205	0,92033	0,07661	0,36605	0,18327	0,11183	1,78905	3,52361	0,87779	0,000164583	0,000164583	0,000164583
147	351,121	2,78127	4,01881	0,97087	0,07661	0,36605	0,18327	0,11183	1,78905	3,52361	0,87779	0,000164462	0,000164462	0,000164462
148	354,296	2,02716	3,83472	0,91089	0,07569	0,36605	0,1898	0,11059	1,8125	3,49562	0,87858	0,000164342	0,000164342	0,000164342
149	356,812	2,0418	3,59512	0,91384	0,07569	0,36605	0,1898	0,11059	1,8125	3,49562	0,87858	0,000164222	0,000164222	0,000164222
150	359,632	2,04662	3,57526	0,89238	0,07569	0,36605	0,1898	0,11059	1,8125	3,49562	0,87858	0,000164102	0,000164102	0,000164102
151	362,213	1,98506	3,6033	0,90622	0,07569	0,36605	0,1898	0,11059	1,8125	3,49562	0,87858	0,000163982	0,000163982	0,000163982
152	365,203	1,8267	3,64907	0,89573	0,07221	0,35864	0,18933	0,1067	1,82914	3,50282	0,8789	0,000163862	0,000163862	0,000163862
153	367,734	1,85317	3,57351	0,89902	0,07221	0,35864	0,18933	0,1067	1,82914	3,50282	0,8789	0,000163742	0,000163742	0,000163742
154	370,629	2,29061	3,66114	0,90827	0,07221	0,35864	0,18933	0,1067	1,82914	3,50282	0,8789	0,000163622	0,000163622	0,000163622
155	373,238	2,00601	3,59002	0,89522	0,07221	0,35864	0,18933	0,1067	1,82914	3,50282	0,8789	0,000163502	0,000163502	0,000163502
156	376,025	2,1393	3,60834	0,89262	0,07561	0,35864	0,19949	0,11482	1,84461	3,52572	0,88419	0,000163381	0,000163381	0,000163381
157	378,605	2,21287	3,50418	0,90538	0,07561	0,35864	0,19949	0,11482	1,84461	3,52572	0,88419	0,000163261	0,000163261	0,000163261
158	381,014	1,81844	3,53137	0,91504	0,07561	0,35864	0,19949	0,11482	1,84461	3,52572	0,88419	0,000163141	0,000163141	0,000163141
159	383,367	1,78467	3,60062	0,91998	0,07561	0,35864	0,19949	0,11482	1,84461	3,52572	0,88419	0,000163021	0,000163021	0,000163021
160	386,022	2,10516	3,58486	0,87775	0,07547	0,32901	0,16464	0,08979	1,82656	3,54476	0,88609	0,000162901	0,000162901	0,000162901
161	388,528	1,95388	3,52205	0,87679	0,07547	0,32901	0,16464	0,08979	1,82656	3,54476	0,88609	0,000162781	0,000162781	0,000162781
162	391,149	1,90474	3,52511	0,88258	0,07547	0,32901	0,16464	0,08979	1,82656	3,54476	0,88609	0,000162661	0,000162661	0,000162661
163	393,528	1,8003	3,32144	0,88424	0,07547	0,32901	0,16464	0,08979	1,82656	3,54476	0,88609	0,000162541	0,000162541	0,000162541
164	396,101	1,87451	3,45704	0,88728	0,09813	0,33827	0,16118	0,09277	1,80283	3,56897	0,89086	0,00016242	0,00016242	0,00016242
165	398,619	1,7869	3,48324	0,8977	0,09813	0,33827	0,16118	0,09277	1,80283	3,56897	0,89086	0,0001623	0,0001623	0,0001623
166	401,179	1,82149	3,2012	0,88052	0,09813	0,33827	0,16118	0,09277	1,80283	3,56897	0,89086	0,00016218	0,00016218	0,00016218
167	403,744	1,9073	3,38926	0,89671	0,09813	0,33827	0,16118	0,09277	1,80283	3,56897	0,89086	0,00016206	0,00016206	0,00016206
168	406,457	1,89596	3,76526	0,89491	0,09552	0,31975	0,15877	0,09068	1,75345	3,5808	0,88497	0,00016194	0,00016194	0,00016194
169	409,025	2,09645	3,59211	0,8903	0,09552	0,31975	0,15877	0,09068	1,75345	3,5808	0,88497	0,00016182	0,00016182	0,00016182
170	411,648	2,06355	3,45476	0,91106	0,09552	0,31975	0,15877	0,09068	1,75345	3,5808	0,88497	0,0001617	0,0001617	0,0001617
171	414,206	2,11257	3,34559	0,89815	0,09552	0,31975	0,15877	0,09068	1,75345	3,5808	0,88497	0,00016158	0,00016158	0,00016158
172	416,874	2,16308	3,44864	0,91752	0,14095	0,34383	0,20129	0,12227	1,77059	3,5681	0,88643	0,000161459	0,000161459	0,000161459
173	419,35	1,9728	3,30386	0,89492	0,14095	0,34383	0,20129	0,12227	1,77059	3,5681	0,88643	0,000161339	0,000161339	0,000161339
174	421,914	1,82571	3,3784	0,88245	0,14095	0,34383	0,20129	0,12227	1,77059	3,5681	0,88643	0,000161219	0,000161219	0,000161219
175	424,294	1,75964	3,15365	0,872	0,14095	0,34383	0,20129	0,12227	1,77059	3,5681	0,88643	0,000161099	0,000161099	0,000161099
176	427,303	1,92803	3,47456	0,93005	0,11846	0,33457	0,19952	0,12052	1,79948	3,58352	0,88964	0,000160979	0,000160979	0,000160979
177	429,832	1,6787	3,3545	0,8939	0,11846	0,33457	0,19952	0,12052	1,79948	3,58352	0,88964	0,000160859	0,000160859	0,000160859
178	432,382	2,15555	3,37552	0,89596	0,11846	0,33457	0,19952	0,12052	1,79948	3,58352	0,88964	0,000160739	0,000160739	0,000160739
179	434,834	1,77943	3,17414	0,86486	0,11846	0,33457	0,19952	0,12052	1,79948	3,58352	0,88964	0,000160619	0,000160619	0,000160619
180	437,338	1,76946	3,2747	0,8789	0,11158	0,36852	0,20512	0,12165	1,79206	3,55645	0,88567	0,000160499	0,000160499	0,000160499
181	440,004	1,97153	3,2598	0,89349	0,11158	0,36852	0,20512	0,12165	1,79206	3,55645	0,88567	0,000160378	0,000160378	0,000160378
182	442,607	1,74985	3,36157	0,88042	0,11158	0,36852	0,20512	0,12165	1,79206	3,55645	0,88567	0,000160258	0,000160258	0,000160258
183	445,167	1,96854	3,2504	0,87279	0,11158	0,36852	0,20512	0,12165	1,79206	3,55645	0,88567	0,000160138	0,000160138	0,000160138
184	447,811	1,63799	3,1728	0,88263	0,10932	0,35	0,20329	0,12394	1,80035	3,49964	0,88096	0,000160018	0,000160018	0,000160018
185	450,381	1,87008	3,18115	0,87312	0,10932	0,35	0,20329	0,12394	1,80035	3,49964	0,88096	0,000159898	0,000159898	0,000159898
186	453,061	1,81753	3,54879	0,90473	0,10932	0,35	0,20329	0,12394	1,80035	3,49964	0,88096	0,000159778	0,000159778	0,000159778
187	455,708	1,70645	3,1963	0,89791	0,10932	0,35	0,20329	0,12394	1,80035	3,49964	0,88096	0,000159658	0,000159658	0,000159658
188	458,417	1,71308	3,10868	0,87621	0,11318	0,39012	0,21708	0,13792	1,7819	3,46948	0,87676	0,000159538	0,000159538	0,000159538
189	461,044	1,93113	3,19501	0,89987	0,11318	0,39012	0,21708	0,13792	1,7819	3,46948	0,87676	0,000159417	0,000159417	0,000159417
190	463,621	1,85713	3,28593	0,88696	0,11318	0,39012	0,21708	0,13792	1,7819	3,46948	0,87676	0,000159297	0,000159297	0,000159297
191	466,2	2,00103	3,17457	0,89726	0,11318	0,39012	0,21708	0,13792	1,7819	3,46948	0,87676	0,000159177	0,000159177	0,000159177
